# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Oct 31 13:32:08 2019
#
# User preference: *
#
# CONSTRAINT:  where (pl_bmassjstr not null)
#
# COLUMN pl_name:        Planet Name
# COLUMN pl_discmethod:  Discovery Method
# COLUMN pl_bmassj:      Planet Mass or M*sin(i) [Jupiter mass]
# COLUMN pl_radj:        Planet Radius [Jupiter radii]
# COLUMN st_dist:        Distance [pc]
# COLUMN rowupdate:      Date of Last Update
# COLUMN pl_facility:    Discovery Facility
#
loc_rowid,pl_name,pl_discmethod,pl_bmassj,pl_radj,st_dist,rowupdate,pl_facility
50,BD+20 594 b,Transit,0.07000,0.230,180.39,2018-04-26,K2
51,BD+48 738 b,Radial Velocity,0.91000,,892.17,2015-08-13,McDonald Observatory
52,BD+48 740 b,Radial Velocity,1.70000,,678.94,2018-02-01,Multiple Observatories
53,BD+49 828 b,Radial Velocity,1.60000,,447.59,2015-02-05,McDonald Observatory
54,BD-06 1339 b,Radial Velocity,0.02700,,20.28,2014-05-14,La Silla Observatory
55,BD-06 1339 c,Radial Velocity,0.17000,,20.28,2014-05-14,La Silla Observatory
56,BD-08 2823 b,Radial Velocity,0.04000,,41.38,2018-09-06,La Silla Observatory
57,BD-08 2823 c,Radial Velocity,0.33000,,41.38,2014-05-14,La Silla Observatory
58,BD-10 3166 b,Radial Velocity,0.59000,,84.61,2018-09-06,W. M. Keck Observatory
59,BD-11 4672 b,Radial Velocity,0.53000,,27.30,2015-01-08,La Silla Observatory
60,BD-13 2130 b,Radial Velocity,9.78000,,948.75,2018-09-06,La Silla Observatory
61,BD-17 63 b,Radial Velocity,5.10000,,34.49,2014-05-14,La Silla Observatory
62,CFBDSIR J145829+101343 b,Imaging,10.50000,,23.10,2014-05-14,W. M. Keck Observatory
63,CHXR 73 b,Imaging,12.56900,,191.05,2014-05-14,Hubble Space Telescope
64,CI Tau b,Radial Velocity,11.60000,,158.00,2019-06-27,Multiple Observatories
65,CT Cha b,Imaging,17.00000,2.200,165.00,2014-05-14,Paranal Observatory
66,CoRoT-1 b,Transit,1.03000,1.490,805.31,2014-05-14,CoRoT
67,CoRoT-10 b,Transit,2.75000,0.970,345.00,2014-05-14,CoRoT
68,CoRoT-11 b,Transit,2.33000,1.430,560.00,2014-05-14,CoRoT
69,CoRoT-12 b,Transit,0.91700,1.440,1150.00,2014-05-14,CoRoT
70,CoRoT-13 b,Transit,1.30800,0.885,1060.00,2014-05-14,CoRoT
71,CoRoT-14 b,Transit,7.60000,1.090,1340.00,2014-05-14,CoRoT
72,CoRoT-16 b,Transit,0.53500,1.170,840.00,2014-05-14,CoRoT
73,CoRoT-17 b,Transit,2.43000,1.020,920.00,2014-05-14,CoRoT
74,CoRoT-18 b,Transit,3.47000,1.310,870.00,2014-05-14,CoRoT
75,CoRoT-19 b,Transit,1.11000,1.290,770.00,2014-05-14,CoRoT
76,CoRoT-2 b,Transit,3.47000,1.466,200.00,2014-05-14,CoRoT
77,CoRoT-20 b,Transit,4.30000,,864.31,2018-07-19,CoRoT
78,CoRoT-20 c,Radial Velocity,17.00000,,864.31,2018-07-19,Multiple Observatories
79,CoRoT-21 b,Transit,2.26000,1.300,1398.83,2018-12-06,CoRoT
80,CoRoT-22 b,Transit,0.03800,0.435,592.00,2014-08-21,CoRoT
81,CoRoT-23 b,Transit,2.80000,1.050,600.00,2014-05-14,CoRoT
82,CoRoT-24 b,Transit,0.01800,0.330,600.00,2018-05-31,CoRoT
83,CoRoT-24 c,Transit,0.08800,0.440,600.00,2014-06-11,CoRoT
84,CoRoT-25 b,Transit,0.27000,1.080,1000.00,2014-05-14,CoRoT
85,CoRoT-26 b,Transit,0.52000,1.260,1670.00,2014-05-14,CoRoT
86,CoRoT-27 b,Transit,10.39000,1.007,1035.15,2014-05-14,CoRoT
87,CoRoT-28 b,Transit,0.48400,0.955,560.00,2015-04-16,CoRoT
88,CoRoT-29 b,Transit,0.85000,0.900,765.00,2015-04-16,CoRoT
89,CoRoT-3 b,Transit,21.66000,1.010,680.00,2014-05-14,CoRoT
90,CoRoT-4 b,Transit,0.72000,1.190,741.60,2014-05-14,CoRoT
91,CoRoT-5 b,Transit,0.46700,1.388,904.65,2014-05-14,CoRoT
92,CoRoT-6 b,Transit,2.96000,1.166,657.24,2014-05-14,CoRoT
93,CoRoT-7 b,Transit,0.01000,0.150,160.64,2018-12-06,CoRoT
94,CoRoT-7 c,Radial Velocity,0.02643,,160.64,2015-09-10,CoRoT
95,CoRoT-8 b,Transit,0.22000,0.570,380.00,2014-05-14,CoRoT
96,CoRoT-9 b,Transit,0.84000,1.066,417.89,2017-12-14,CoRoT
97,CoRoTID 223977153 b,Transit,0.15000,0.570,586.20,2017-09-15,CoRoT
98,DE CVn b,Eclipse Timing Variations,12.02930,,30.55,2019-07-11,Multiple Facilities
99,DENIS-P J082303.1-491201 b,Astrometry,28.50000,,20.77,2014-05-14,Paranal Observatory
100,DH Tau b,Imaging,11.00000,,140.00,2014-05-14,Subaru Telescope
101,DP Leo b,Eclipse Timing Variations,6.05000,,305.06,2014-05-14,Yunnan Astronomical Observatory
126,EPIC 246851721 b,Transit,3.00000,1.051,336.70,2018-10-26,K2
127,EPIC 248847494 b,Transit,13.00000,1.110,560.00,2019-07-25,K2
128,FU Tau b,Imaging,16.00000,,140.00,2016-03-10,Spitzer Space Telescope
130,GJ 1132 b,Transit,0.00522,,12.62,2018-06-21,Cerro Tololo Inter-American Observatory
131,GJ 1132 c,Transit,0.00831,,12.62,2018-06-21,La Silla Observatory
132,GJ 1148 b,Radial Velocity,0.30425,,11.02,2017-10-19,W. M. Keck Observatory
133,GJ 1148 c,Radial Velocity,0.21414,,11.02,2017-10-19,Calar Alto Observatory
134,GJ 1214 b,Transit,0.01970,0.254,14.65,2015-12-03,MEarth Project
135,GJ 1265 b,Radial Velocity,0.02328,,10.26,2018-12-06,Calar Alto Observatory
136,GJ 143 b,Transit,0.07142,0.233,16.33,2019-04-25,Transiting Exoplanet Survey Satellite (TESS)
137,GJ 15 A b,Radial Velocity,0.00953,,3.56,2019-10-10,W. M. Keck Observatory
138,GJ 15 A c,Radial Velocity,0.11327,,3.56,2019-10-10,Roque de los Muchachos Observatory
139,GJ 160.2 b,Radial Velocity,0.03209,,25.88,2019-10-10,Multiple Observatories
140,GJ 163 b,Radial Velocity,0.03335,,15.14,2017-01-26,La Silla Observatory
141,GJ 163 c,Radial Velocity,0.02140,,15.14,2017-01-26,La Silla Observatory
142,GJ 163 d,Radial Velocity,0.09250,,15.14,2017-01-26,La Silla Observatory
143,GJ 179 b,Radial Velocity,0.82000,,12.36,2014-05-14,W. M. Keck Observatory
144,GJ 180 b,Radial Velocity,0.02611,,11.94,2019-10-10,Multiple Observatories
145,GJ 180 c,Radial Velocity,0.02014,,11.94,2019-10-10,Multiple Observatories
146,GJ 229 b,Radial Velocity,0.10068,,5.76,2019-10-10,Multiple Observatories
147,GJ 27.1 b,Radial Velocity,0.04090,,23.62,2019-10-10,Multiple Observatories
148,GJ 273 b,Radial Velocity,0.00909,,3.80,2017-03-30,La Silla Observatory
149,GJ 273 c,Radial Velocity,0.00371,,3.80,2017-03-30,La Silla Observatory
150,GJ 3021 b,Radial Velocity,3.37000,,17.56,2014-05-14,La Silla Observatory
151,GJ 3138 b,Radial Velocity,0.00560,,28.49,2017-03-30,La Silla Observatory
152,GJ 3138 c,Radial Velocity,0.01315,,28.49,2017-03-30,La Silla Observatory
153,GJ 3138 d,Radial Velocity,0.03304,,28.49,2017-03-30,La Silla Observatory
154,GJ 317 b,Radial Velocity,2.50000,,15.10,2014-08-27,W. M. Keck Observatory
155,GJ 317 c,Radial Velocity,1.54000,,15.10,2018-11-29,W. M. Keck Observatory
156,GJ 328 b,Radial Velocity,2.30000,,20.54,2014-05-14,McDonald Observatory
157,GJ 3293 b,Radial Velocity,0.07406,,20.20,2017-03-30,La Silla Observatory
158,GJ 3293 c,Radial Velocity,0.06636,,20.20,2017-03-30,La Silla Observatory
159,GJ 3293 d,Radial Velocity,0.02391,,20.20,2017-03-30,La Silla Observatory
160,GJ 3293 e,Radial Velocity,0.01032,,20.20,2017-03-30,La Silla Observatory
161,GJ 3323 b,Radial Velocity,0.00636,,5.32,2017-03-30,La Silla Observatory
162,GJ 3323 c,Radial Velocity,0.00727,,5.32,2017-03-30,La Silla Observatory
163,GJ 3341 b,Radial Velocity,0.02080,,23.16,2014-12-03,La Silla Observatory
164,GJ 3470 b,Radial Velocity,0.04373,0.408,29.45,2016-09-29,La Silla Observatory
165,GJ 3512 b,Radial Velocity,0.46300,,9.49,2019-10-10,Calar Alto Observatory
166,GJ 357 b,Transit,0.00579,0.109,9.44,2019-08-15,Transiting Exoplanet Survey Satellite (TESS)
167,GJ 357 c,Radial Velocity,0.01070,,9.44,2019-08-01,Multiple Observatories
168,GJ 357 d,Radial Velocity,0.01919,,9.44,2019-08-01,Multiple Observatories
169,GJ 3634 b,Radial Velocity,0.02600,,19.80,2014-08-21,La Silla Observatory
170,GJ 3779 b,Radial Velocity,0.02517,,13.75,2018-12-06,Calar Alto Observatory
171,GJ 3942 b,Radial Velocity,0.02246,,16.94,2017-12-21,Roque de los Muchachos Observatory
172,GJ 3998 b,Radial Velocity,0.00777,,18.16,2016-07-28,Roque de los Muchachos Observatory
173,GJ 3998 c,Radial Velocity,0.01970,,18.16,2016-07-28,Roque de los Muchachos Observatory
174,GJ 411 b,Radial Velocity,0.00941,,2.55,2019-03-05,Haute-Provence Observatory
175,GJ 422 b,Radial Velocity,0.03115,,12.67,2019-10-10,Multiple Observatories
176,GJ 4276 b,Radial Velocity,0.05213,,21.35,2019-01-24,Calar Alto Observatory
177,GJ 433 b,Radial Velocity,0.01668,,9.07,2019-10-10,La Silla Observatory
178,GJ 433 c,Radial Velocity,0.14159,,9.07,2019-10-10,Multiple Observatories
179,GJ 436 b,Radial Velocity,0.07000,0.372,9.76,2015-02-05,W. M. Keck Observatory
180,GJ 504 b,Imaging,4.00000,,17.54,2014-05-14,Subaru Telescope
181,GJ 536 b,Radial Velocity,0.01686,,10.41,2016-11-17,La Silla Observatory
182,GJ 581 b,Radial Velocity,0.04970,,6.30,2014-07-09,La Silla Observatory
183,GJ 581 c,Radial Velocity,0.01730,,6.30,2014-07-09,La Silla Observatory
184,GJ 581 e,Radial Velocity,0.00530,,6.30,2014-07-09,La Silla Observatory
185,GJ 625 b,Radial Velocity,0.00887,,6.49,2017-09-28,Multiple Observatories
186,GJ 649 b,Radial Velocity,0.32800,,10.38,2014-05-14,W. M. Keck Observatory
187,GJ 667 C b,Radial Velocity,0.01800,,6.80,2014-05-14,La Silla Observatory
188,GJ 667 C c,Radial Velocity,0.01200,,6.80,2014-05-14,La Silla Observatory
189,GJ 667 C e,Radial Velocity,0.00800,,6.80,2014-05-14,La Silla Observatory
190,GJ 667 C f,Radial Velocity,0.00800,,6.80,2014-05-14,La Silla Observatory
191,GJ 667 C g,Radial Velocity,0.01400,,6.80,2014-05-14,La Silla Observatory
192,GJ 674 b,Radial Velocity,0.03500,,4.55,2014-05-14,La Silla Observatory
193,GJ 676 A b,Radial Velocity,4.96000,,16.03,2018-09-06,La Silla Observatory
194,GJ 676 A c,Radial Velocity,6.80000,,16.03,2016-09-29,Paranal Observatory
195,GJ 676 A d,Radial Velocity,0.01400,,16.03,2016-09-29,La Silla Observatory
196,GJ 676 A e,Radial Velocity,0.02500,,16.03,2016-09-29,La Silla Observatory
197,GJ 682 b,Radial Velocity,0.01384,,5.01,2019-10-10,Multiple Observatories
198,GJ 682 c,Radial Velocity,0.02737,,5.01,2019-10-10,Multiple Observatories
199,GJ 685 b,Radial Velocity,0.02832,,14.32,2019-04-11,Qatar
200,GJ 687 b,Radial Velocity,0.06000,,4.55,2018-09-06,Lick Observatory
201,GJ 832 b,Radial Velocity,0.68000,,4.97,2014-06-25,Anglo-Australian Telescope
202,GJ 832 c,Radial Velocity,0.01700,,4.97,2014-06-25,Multiple Observatories
203,GJ 849 b,Radial Velocity,1.00000,,8.80,2018-09-06,W. M. Keck Observatory
204,GJ 86 b,Radial Velocity,4.42000,,10.79,2018-09-06,La Silla Observatory
205,GJ 876 b,Radial Velocity,2.27560,,4.68,2014-08-27,Multiple Observatories
206,GJ 876 c,Radial Velocity,0.71420,,4.68,2014-08-27,Multiple Observatories
207,GJ 876 d,Radial Velocity,0.02100,,4.68,2014-08-27,W. M. Keck Observatory
208,GJ 876 e,Radial Velocity,0.04600,,4.68,2014-08-27,W. M. Keck Observatory
209,GJ 96 b,Radial Velocity,0.06186,,11.94,2018-11-08,Haute-Provence Observatory
210,GJ 9827 b,Transit,0.01545,0.141,29.69,2019-08-29,K2
211,GJ 9827 c,Transit,0.00264,0.111,29.69,2019-08-29,K2
212,GJ 9827 d,Transit,0.01271,0.180,29.69,2019-08-29,K2
213,GQ Lup b,Imaging,20.00000,3.000,151.82,2014-05-14,Paranal Observatory
214,GSC 06214-00210 b,Imaging,16.00000,,145.00,2015-04-01,Palomar Observatory
215,GU Psc b,Imaging,11.30000,1.265,48.00,2014-05-14,Gemini Observatory
216,Gl 378 b,Radial Velocity,0.04097,,14.96,2019-03-05,Haute-Provence Observatory
217,Gl 49 b,Radial Velocity,0.01771,,9.86,2019-06-13,Multiple Observatories
218,Gl 686 b,Radial Velocity,0.02089,,8.16,2019-06-13,Roque de los Muchachos Observatory
219,HAT-P-1 b,Transit,0.52500,1.319,159.71,2015-09-10,HATNet
220,HAT-P-11 b,Transit,0.07362,0.389,37.81,2019-01-31,HATNet
221,HAT-P-11 c,Radial Velocity,1.59519,,37.81,2019-01-31,W. M. Keck Observatory
222,HAT-P-12 b,Transit,0.21100,0.959,142.50,2014-05-14,HATNet
223,HAT-P-13 b,Transit,0.85100,1.272,214.00,2014-10-15,HATNet
224,HAT-P-13 c,Radial Velocity,14.28000,,214.00,2019-01-31,W. M. Keck Observatory
225,HAT-P-14 b,Transit,3.44000,1.420,224.10,2018-04-26,HATNet
226,HAT-P-15 b,Transit,1.94000,1.060,193.56,2018-04-26,HATNet
227,HAT-P-16 b,Transit,4.19300,1.289,235.00,2014-05-14,HATNet
228,HAT-P-17 b,Transit,0.58000,1.050,92.63,2018-04-26,HATNet
229,HAT-P-17 c,Radial Velocity,3.40000,,92.63,2014-05-14,W. M. Keck Observatory
230,HAT-P-18 b,Transit,0.19700,0.995,166.00,2014-05-14,HATNet
231,HAT-P-19 b,Transit,0.29200,1.132,215.00,2014-05-14,HATNet
232,HAT-P-2 b,Transit,8.62000,,128.25,2018-09-27,HATNet
233,HAT-P-20 b,Transit,7.24600,0.867,70.00,2014-05-14,HATNet
234,HAT-P-21 b,Transit,4.87000,1.110,279.48,2018-04-26,HATNet
235,HAT-P-22 b,Transit,2.47000,1.150,81.96,2018-04-26,HATNet
236,HAT-P-23 b,Transit,1.34000,1.090,368.61,2018-04-26,HATNet
237,HAT-P-24 b,Transit,0.75000,1.300,420.26,2018-04-26,HATNet
238,HAT-P-25 b,Transit,0.56900,1.135,302.95,2019-01-17,HATNet
239,HAT-P-26 b,Transit,0.07000,0.630,142.41,2018-04-26,HATNet
240,HAT-P-27 b,Transit,0.62000,1.020,204.00,2018-02-01,HATNet
241,HAT-P-28 b,Transit,0.62600,1.212,395.00,2014-05-14,HATNet
242,HAT-P-29 b,Transit,0.88000,1.170,316.36,2018-04-26,HATNet
243,HAT-P-3 b,Transit,0.65000,0.940,135.08,2018-05-24,HATNet
244,HAT-P-30 b,Transit,0.83000,1.440,215.29,2018-04-26,HATNet
245,HAT-P-31 b,Transit,2.27000,1.090,347.48,2018-04-26,HATNet
246,HAT-P-32 b,Transit,0.68000,1.980,291.51,2019-07-11,HATNet
247,HAT-P-33 b,Transit,0.92000,1.850,400.55,2018-04-26,HATNet
248,HAT-P-34 b,Transit,7.01000,1.350,251.08,2018-04-26,HATNet
249,HAT-P-35 b,Transit,7.52000,3.550,514.20,2018-04-26,HATNet
250,HAT-P-36 b,Transit,1.84820,1.277,296.93,2019-07-11,HATNet
251,HAT-P-37 b,Transit,1.16900,1.178,411.00,2014-05-14,HATNet
252,HAT-P-38 b,Transit,0.26700,0.825,249.00,2014-05-14,HATNet
253,HAT-P-39 b,Transit,0.59900,1.571,642.00,2014-05-14,HATNet
254,HAT-P-4 b,Transit,0.67100,1.274,314.00,2014-05-14,HATNet
255,HAT-P-40 b,Transit,0.48000,1.520,470.68,2018-04-26,HATNet
256,HAT-P-41 b,Transit,1.19000,2.050,351.63,2018-04-26,HATNet
257,HAT-P-42 b,Transit,1.04400,1.280,447.00,2014-05-14,HATNet
258,HAT-P-43 b,Transit,0.66200,1.281,542.00,2014-05-14,HATNet
259,HAT-P-44 b,Transit,0.35200,1.242,363.00,2014-05-14,HATNet
260,HAT-P-44 c,Radial Velocity,4.00000,,363.00,2014-05-14,W. M. Keck Observatory
261,HAT-P-45 b,Transit,0.89200,1.426,305.00,2014-05-14,HATNet
262,HAT-P-46 b,Transit,0.49300,1.284,296.00,2014-05-14,HATNet
263,HAT-P-49 b,Transit,2.20000,1.590,353.89,2018-04-26,HATNet
264,HAT-P-5 b,Transit,0.98000,1.210,306.01,2018-05-24,HATNet
265,HAT-P-50 b,Transit,1.35000,1.288,497.00,2015-11-19,HATNet
266,HAT-P-51 b,Transit,0.30900,1.293,470.00,2015-11-19,HATNet
267,HAT-P-52 b,Transit,0.81800,1.009,385.00,2015-11-19,HATNet
268,HAT-P-53 b,Transit,1.48400,1.318,719.00,2015-11-19,HATNet
269,HAT-P-54 b,Transit,0.76000,0.944,144.25,2015-04-24,HATNet
270,HAT-P-55 b,Transit,0.58200,1.182,480.00,2015-06-17,HATNet
271,HAT-P-56 b,Transit,2.31000,1.510,323.50,2018-04-26,HATNet
272,HAT-P-57 b,Transit,1.41000,1.740,282.08,2018-04-26,HATNet
273,HAT-P-6 b,Transit,1.32000,1.480,277.50,2018-04-26,HATNet
274,HAT-P-65 b,Transit,0.52700,1.890,841.00,2016-09-15,HATNet
275,HAT-P-66 b,Transit,0.78300,1.590,927.00,2016-09-15,HATNet
276,HAT-P-67 b,Transit,0.34000,2.085,320.00,2017-04-13,HATNet
277,HAT-P-69 b,Transit,3.58000,1.676,343.90,2019-08-15,HATNet
278,HAT-P-7 b,Transit,1.84000,1.510,344.46,2018-04-26,HATNet
279,HAT-P-70 b,Transit,6.78000,1.870,329.00,2019-08-15,HATNet
280,HAT-P-8 b,Transit,1.28000,1.400,212.84,2018-04-26,HATNet
281,HAT-P-9 b,Transit,0.74900,1.393,480.00,2019-07-11,HATNet
282,HATS-1 b,Transit,1.85500,1.302,303.00,2014-05-14,HATSouth
283,HATS-10 b,Transit,0.52600,0.969,496.00,2015-05-21,HATSouth
286,HATS-13 b,Transit,0.54300,1.212,476.00,2015-08-13,HATSouth
287,HATS-14 b,Transit,1.07100,1.039,513.00,2015-08-13,HATSouth
288,HATS-15 b,Transit,2.17000,1.105,689.00,2016-06-23,HATSouth
289,HATS-16 b,Transit,3.27000,1.300,774.00,2016-06-23,HATSouth
290,HATS-17 b,Transit,1.33800,0.777,339.00,2016-09-15,HATSouth
291,HATS-18 b,Transit,1.97950,1.329,645.00,2019-07-11,Multiple Observatories
292,HATS-2 b,Transit,1.34500,1.168,360.00,2014-05-14,HATSouth
293,HATS-22 b,Transit,2.74000,0.953,207.90,2017-03-16,HATSouth
294,HATS-23 b,Transit,1.47000,1.860,747.00,2017-03-16,HATSouth
295,HATS-24 b,Transit,2.26000,1.395,510.00,2019-07-11,HATSouth
296,HATS-25 b,Transit,0.61300,1.260,466.00,2016-06-09,HATSouth
297,HATS-26 b,Transit,0.65000,1.750,907.00,2016-06-09,HATSouth
298,HATS-27 b,Transit,0.53000,1.500,840.00,2016-06-09,HATSouth
299,HATS-28 b,Transit,0.67200,1.194,521.00,2016-06-09,HATSouth
300,HATS-29 b,Transit,0.65300,1.251,351.00,2016-06-09,HATSouth
301,HATS-3 b,Transit,1.07100,1.381,453.00,2014-05-14,HATSouth
302,HATS-30 b,Transit,0.70600,1.175,339.00,2016-06-09,HATSouth
303,HATS-31 b,Transit,0.88000,1.640,872.00,2016-12-01,HATSouth
304,HATS-32 b,Transit,0.92000,1.249,839.00,2016-12-01,HATSouth
305,HATS-33 b,Transit,1.19200,1.230,255.00,2016-12-01,HATSouth
306,HATS-34 b,Transit,0.94100,1.430,532.00,2016-12-01,HATSouth
307,HATS-35 b,Transit,1.22200,1.464,557.00,2016-12-01,HATSouth
309,HATS-39 b,Transit,0.63000,1.570,773.00,2018-04-12,HATSouth
310,HATS-4 b,Transit,1.32300,1.020,420.00,2014-07-02,HATSouth
311,HATS-40 b,Transit,1.59000,1.580,1431.00,2018-04-12,HATSouth
312,HATS-41 b,Transit,9.70000,1.330,800.00,2018-04-12,HATSouth
313,HATS-42 b,Transit,1.88000,1.400,942.00,2018-04-12,HATSouth
314,HATS-43 b,Transit,0.26100,1.180,341.00,2018-05-24,HATSouth
315,HATS-44 b,Transit,0.56000,1.067,463.00,2018-05-24,HATSouth
316,HATS-45 b,Transit,0.70000,1.286,818.00,2018-05-24,HATSouth
317,HATS-46 b,Transit,0.17300,0.903,448.00,2018-05-24,HATSouth
318,HATS-5 b,Transit,0.23700,0.912,257.00,2014-05-14,HATSouth
319,HATS-50 b,Transit,0.39000,1.130,717.00,2018-01-05,HATSouth
320,HATS-51 b,Transit,0.76800,1.410,478.00,2018-01-05,HATSouth
321,HATS-52 b,Transit,2.24000,1.382,631.00,2018-01-05,HATSouth
322,HATS-53 b,Transit,0.59500,1.340,613.00,2018-01-05,HATSouth
323,HATS-54 b,Transit,0.76000,1.067,769.00,2019-08-15,HATSouth
324,HATS-55 b,Transit,0.92100,1.251,623.60,2019-08-15,HATSouth
325,HATS-56 b,Transit,0.60200,1.688,577.10,2019-08-15,HATSouth
326,HATS-57 b,Transit,3.14700,1.139,280.00,2019-08-15,HATSouth
327,HATS-58 A b,Transit,1.03000,1.095,492.00,2019-08-15,HATSouth
328,HATS-59 b,Transit,0.80600,1.126,654.88,2018-12-06,HATSouth
329,HATS-59 c,Radial Velocity,12.70000,,654.88,2018-12-06,HATSouth
330,HATS-6 b,Transit,0.31900,0.998,148.40,2015-05-14,HATSouth
331,HATS-60 b,Transit,0.66200,1.153,494.30,2019-01-17,HATSouth
332,HATS-61 b,Transit,3.40000,1.195,694.00,2019-01-17,HATSouth
333,HATS-62 b,Transit,0.17900,1.055,516.80,2019-01-17,HATSouth
334,HATS-63 b,Transit,0.96000,1.207,634.80,2019-01-17,HATSouth
